Black Body Radiation Experiment Wed, Jan 21, 2026 9:40 AM
Sensor Position (Degrees)	Light Intensity (Volts)
88.60558	0.03074
88.60558	0.03093
88.59525	0.03105
88.60558	0.03089
88.60558	0.03131
88.60558	0.03125
88.61591	0.03108
88.61591	0.03142
88.64691	0.03165
88.67791	0.03243
88.82257	0.03228
88.95690	0.03306
89.03957	0.03372
89.42189	0.03411
89.78354	0.03407
89.96954	0.03344
90.54819	0.03206
